test_id,zip_file,expected_count,matched_count,missed_count,actual_unique_findings,false_positive_count,duplicate_count,rag_relevant_count,rag_irrelevant_count,analysis_ms,groq_calls,ai_candidates,grounding_rejected,final_unique_findings,project_health,verdict,notes
15,py_015_raw_error_leakage.zip,1,1,0,2,0,0,0,4,2516.0,3,2,0 apparent,2,88.4,PARTIAL,"STRIKING misrouting example: STANDARDS actually contains API-02 'Never leak raw stack traces or exception text to API clients' -- a PERFECT match for finding 0 (repr(exc) returned to client). But finding 0 is tagged category=security (not api_design), so it never has a chance at API-02 and gets the generic SEC-01/SEC-02 pair instead; API-02 instead lands on finding 1 (a missing-auth finding, where it does NOT apply) purely because finding 1 happened to be tagged api_design. The one standard in the whole table that would have been exactly right for this test never reaches the finding it actually describes."
16,py_016_unbounded_list.zip,1,1,0,1,0,0,0,1,2000.0,2,1,0 apparent,1,89.2,PARTIAL,"Clean, well-grounded match. Only STANDARDS performance entry (PERF-01, N+1 queries) is always cited for any performance finding regardless of topic -- irrelevant here."
17,py_017_missing_http_timeout.zip,1,1,0,2,0,0,0,4,2359.0,3,2,0 apparent,2,87.6,PARTIAL,"IMPORTANT PATTERN: this is the first observed case of 'reasoning-stage self-contradiction' -- the finding card correctly matches the seeded theme, but clicking through to 'Explain this finding' (POST /findings/reason) returns findingConfirmed=false for BOTH findings, dismissing them because the URL host is example.invalid, treating a safe RFC-2606 placeholder domain (used deliberately and correctly across many fixtures in this suite) as proof the code isn't real/isn't a genuine risk. This is a distinct failure mode from grounding rejection or RAG mismatch: the finding surfaces correctly, then the tool talks the user out of it for a bad reason. Worth checking for recurrence anywhere else example.invalid appears alongside a genuinely-seeded (not negative-assertion) issue."
18,py_018_blocking_requests_async.zip,2,2,0,2,0,0,0,3,2937.0,3,2,0 apparent,2,87.6,PARTIAL,"Both seeded themes correctly and precisely matched, negative assertion respected. Both citations are generic-category fallback: STANDARDS has no dedicated SSRF entry at all (the whole table has zero SSRF-specific standard, despite ssrf being one of this suite's most common themes across 4 fixtures), and performance category has exactly one standard (PERF-01, N+1 queries) that gets cited for every performance finding regardless of topic. Perfect detection undermined entirely by the guidance layer: 0/3 relevant."
19,py_019_blocking_sleep_async.zip,1,1,0,2,0,1,0,2,1625.0,3,1,0 apparent,2,88.4,PARTIAL,Same one-line-apart deterministic+AI duplicate pattern seen repeatedly (py_004/007/008/013). Theme matched cleanly.
20,py_020_swallowed_exception.zip,1,1,0,1,0,0,0,2,1969.0,2,1,0 apparent,1,88.7,PARTIAL,"Deterministic empty_exception_handler rule only matches a LITERALLY bare 'except:' (no exception type); this fixture uses 'except Exception: pass' (a named but still catch-all handler), which the regex does not match -- a real, narrow coverage gap. AI caught it correctly. CQ-01 in STANDARDS is worded almost exactly for this finding ('Never use empty or catch-all exception handling') but was never reachable because the finding's category is reliability, not best_practice -- another concrete case of a perfect-fit standard existing but being unreachable due to category routing."
21,py_021_global_counter_race.zip,1,1,0,1,0,0,0,2,2656.0,2,1,0 apparent,1,87.1,PARTIAL,"Precise, well-grounded read-modify-write race identification (correctly cites the await yield point as the interruption). No deterministic concurrency/race rule exists at all, and no concurrency-specific standard exists in STANDARDS -- total coverage gap for this theme beyond the AI layer. Generic code_quality fallback, 0/2 relevant."
22,py_022_process_local_cache_scaling.zip,1,0,1,1,0,0,0,2,2578.0,2,1,0 apparent,1,88.8,FAIL,"Judgment call: oracle theme process_local_cache is about the cache existing ONLY in process memory, so it silently diverges/loses data across multiple server instances/workers (a horizontal-scaling / architecture concern -- oracle evidence: 'Mutable cache exists only in process memory'). The actual finding instead describes a same-process async race condition (concurrent requests racing on one dict within a single process) -- a related but genuinely different risk, with no mention anywhere of multiple processes, workers, instances, or horizontal scaling. Per the semantic-matching rule (same underlying risk required, not just shared subject/variable), this does not count as a match. Treated as a clean miss (0/1) since the finding, while accurate on its own terms, does not address the seeded risk at all."
23,py_023_unbounded_memory_list.zip,1,0,1,1,1,0,0,2,2984.0,2,1,0 apparent,1,89.5,FAIL,"Clean miss on a 4-line fixture with an obvious, single seeded issue: recent_events grows forever with no cap/eviction. Instead the model speculated about multi-threaded race conditions with no supporting evidence, and its own explain-stage correctly rejected that speculative claim (findingConfirmed=false) -- so the net useful signal on this test is zero."
24,py_024_stale_cache_invalidation.zip,1,1,0,2,0,0,0,3,2359.0,3,2,0 apparent,2,89.2,PARTIAL,"Theme matched precisely (invalidation gap correctly identified). Second finding (concurrent-write safety) is a distinct, appropriately-hedged real observation, not a duplicate. All RAG generic-fallback, 0/3 relevant."
25,py_025_duplicate_concurrent_generation.zip,1,1,0,1,0,0,0,2,2594.0,2,1,0 apparent,1,88.7,PARTIAL,"Third instance of reasoning-stage self-contradiction (after py_017, py_023), and the most consequential: this is a hard-difficulty fixture, the card is precisely correct, and the explain-stage's own dismissal reasoning is itself wrong (conflates 'final value converges' with 'no cost from duplicate work'). If a user trusts the explain panel over the raw finding, they would wrongly dismiss a real, hard-to-spot issue."
26,py_026_money_float_precision.zip,1,0,1,1,0,0,0,2,2250.0,2,1,0 apparent,1,88.2,FAIL,"Source: checkout_total sums a list[float] of prices and computes tax as float arithmetic, split_bill divides a float total -- money represented entirely in binary float, the seeded issue (oracle evidence: 'Money calculations use binary floating point'). The single AI finding produced instead flags an unrelated (if legitimate) division-by-zero edge case in split_bill and never mentions floating-point/Decimal/rounding at all. Full 2-line file was sent to the model in one chunk, so this is a genuine reasoning miss, not a truncation/coverage artifact. Zero useful findings on the actual seeded theme."
27,py_027_infinity_validation.zip,1,0,1,1,0,0,0,2,2000.0,2,1,0 apparent,1,89.3,FAIL,"Source explicitly checks math.isnan(amount) and amount<0 but never math.isinf(amount) -- float('inf') sails through as a 'valid' normalized amount, exactly the oracle's seeded gap ('NaN is rejected but positive infinity is accepted'), sitting directly adjacent to the two checks that DO exist. The AI instead raised an unrelated, real-but-different concern (TypeError on non-numeric strings) and never mentioned infinity, isinf, or unbounded magnitude at all. Notable miss given how localized and structurally obvious the gap is (three consecutive if/raise lines, missing exactly one)."
28,py_028_date_parsing_validation.zip,1,1,0,2,0,0,0,4,2031.0,3,2,0 apparent,2,88.7,PARTIAL,"Theme matched exactly; second finding is a distinct, legitimate real issue (missing-key vs malformed-value), not a duplicate. Oracle tags this api_design but SAGE tags correctness->code_quality; doesn't affect matching."
29,py_029_month_range_logic.zip,1,1,0,1,0,0,0,2,2031.0,2,1,0 apparent,1,88.2,PARTIAL,"Clean, well-grounded match covering both the format and range aspects the oracle names. Generic code_quality fallback, 0/2 relevant."
30,py_030_user_regex_redos.zip,1,1,0,1,0,0,0,2,2735.0,2,1,0 apparent,1,88.2,PARTIAL,"Correct, precise ReDoS identification on a hard-difficulty fixture. No deterministic rule or STANDARDS entry exists for untrusted-regex/ReDoS -- generic security fallback, 0/2 relevant."
31,py_031_predictable_temp_file.zip,1,1,0,1,0,0,0,2,2735.0,2,1,0 apparent (candidate deduped against deterministic finding),1,88.2,PARTIAL,"Clean single-finding match with correctly-deduped AI candidate (no duplicate surfaced). Deterministic rule name IS an exact string match to the theme name, but still gets generic RAG fallback since unsafe_tempfile is one of the ~18 RULE_METADATA ids absent from RULE_TO_STANDARD (and no tempfile standard exists in STANDARDS at all)."
32,py_032_unbounded_file_upload.zip,2,2,0,2,0,0,0,3,2594.0,3,2,0 apparent,2,88.1,PARTIAL,"Both seeded themes matched precisely and correctly, oracle expected upload_size_unbounded as category=reliability but SAGE classified it performance (minor category-label difference, does not affect theme matching). Both citations are generic-category fallback and both irrelevant -- 0/3."
33,py_033_zip_slip.zip,1,1,0,2,0,1,0,4,2516.0,3,1,0 apparent,2,83.3,PARTIAL,"Clean theme match, correct exact vulnerability (zip-slip via extractall with no path containment). Same duplicate + generic-RAG pattern as most deterministic+AI pairs in this suite."
34,py_034_world_writable_permissions.zip,1,1,0,2,0,0,0,4,2578.0,3,2,0 apparent,2,87.6,PARTIAL,"Theme matched precisely. Second finding's core claim (unvalidated content write) differs from the first (permission mode) so treated as a distinct real observation rather than a duplicate, though its reasoning text also re-mentions the chmod issue as supporting color."
35,py_035_weak_password_hash.zip,1,1,0,1,0,0,0,2,2313.0,2,1,0 apparent (candidate deduped),1,88.2,PARTIAL,"Clean single-finding match, AI candidate correctly deduped (no duplicate card). Oracle expects severity=high, SAGE reports medium (minor calibration gap). No weak-crypto standard exists in STANDARDS -- generic fallback, 0/2 relevant."
36,py_036_predictable_token.zip,1,1,0,2,0,1,0,4,1906.0,3,1,0 apparent,2,86.4,PARTIAL,"Theme matched precisely (both findings correctly identify non-cryptographic random for token generation), but not deduplicated (one line apart). Oracle expects severity=high, SAGE reports medium (minor calibration gap)."
37,py_037_sensitive_token_logging.zip,1,1,0,2,0,1,0,4,1781.0,3,1,0 apparent,2,86.4,PARTIAL,"Clean theme match, exact-line-adjacent duplicate not merged (same pattern repeated throughout this suite)."
38,py_038_query_string_logging.zip,1,0,1,0,0,0,0,0,1859.0,1,0,0 (no candidates at all),0,91.1,FAIL,"ZERO-FINDING VULNERABLE TEST. Source: `logger.info('request_url=%s', str(request.url))` inside a global HTTP middleware -- every request's full URL, including any query-string secrets/tokens/PII, is logged unconditionally. The Groq quality-review call for this file returned zero issues (ai_candidate_count=0, not merely grounding-rejected candidates) -- a complete miss with no compensating deterministic rule (sensitive_logging's regex only matches password/secret/token/api_key keywords near a log call, not a URL-object being logged). This is the clearest complete-miss case in the batch: one 7-line file, one obvious, single seeded issue, zero output."
39,py_039_third_party_ai_privacy.zip,1,0,1,2,0,0,0,4,2515.0,3,2,0 apparent,2,86.4,FAIL,"Source builds payload={'name','email','transactions','account_number'} and POSTs it wholesale to an external AI endpoint -- an obvious, named-field PII/financial data-minimization risk (the exact theme, 'third_party_ai_privacy'). Neither finding mentions the payload contents, data sent, privacy, PII, or data minimization at all; both are about unrelated concerns (missing outbound auth, missing error handling). Negative assertion correctly respected (timeout=10 present, not flagged). Also the 4th occurrence of the example.invalid-triggered reasoning self-contradiction."
40,py_040_llm_prompt_injection_boundary.zip,1,1,0,2,0,0,0,4,2296.0,3,2,0 apparent,2,87.7,PARTIAL,"Precise, well-grounded prompt-injection identification on a hard-difficulty fixture -- one of the strongest catches in the batch. Second finding is a genuine, distinct extra observation (missing timeout on the LLM provider call). No LLM/prompt-injection standard exists in STANDARDS -- generic fallback, 0/4 relevant."
41,py_041_llm_json_parse_failure.zip,1,1,0,3,0,0,0,6,2734.0,4,3,0 apparent,3,87.3,PARTIAL,"Oracle theme ('parsed/indexed without malformed JSON/schema handling') is matched jointly by finding 1 (JSON-parse failure) and finding 2 (unchecked key access) -- both distinct failure points of the same broader theme, not duplicates of each other. finding 0 is a separate, legitimate extra observation. All RAG generic-fallback, 0/6 relevant."
42,py_042_unbounded_retry_loop.zip,1,1,0,1,0,0,0,2,2078.0,2,1,0 apparent,1,88.7,PARTIAL,"Clean, precise match (correctly notes both the unconditional while True and the fixed-sleep backoff). No unbounded-retry standard exists in STANDARDS -- generic fallback, 0/2 relevant."
43,py_043_n_plus_one_queries.zip,1,1,0,2,1,0,1,2,2187.0,3,2,0 apparent,2,89.0,PARTIAL,"First fully-relevant single-citation RAG result in the batch for an AI-quality finding (PERF-01 genuinely IS about N+1 queries, and this finding genuinely IS an N+1 pattern -- the one case in this suite where the always-cited performance standard happens to be exactly on-topic). The self-check on finding 1 is a positive counter-example: the explain stage correctly caught its own weak/speculative candidate here, unlike the example.invalid-triggered false dismissals seen elsewhere."
44,py_044_multi_step_consistency.zip,1,1,0,3,0,0,0,6,3406.0,4,3,0 apparent,3,83.1,PARTIAL,"Theme matched precisely and strongly by finding 1 (exact transaction-scope gap). Findings 0 and 2 share the same two evidence lines and root architectural gap (no atomic transaction) but describe genuinely distinct failure scenarios (business-rule check, crash-atomicity, concurrency-isolation) -- not counted as duplicates under a strict same-failure-mode reading, though the evidence overlap is worth noting as finding-density around one root cause. No transaction/data-consistency standard exists in STANDARDS -- generic code_quality fallback throughout, 0/6 relevant."
45,py_045_unbounded_offset_pagination.zip,1,1,0,2,0,0,0,4,2422.0,3,2,0 apparent,2,88.8,PARTIAL,"Theme correctly matched, well grounded. Illustrates the category-routing side effect: because the model tagged the finding 'best_practice' rather than 'api_design', it never had a chance at API-01 (the one standard that would actually fit), landing on the generic code_quality pair instead."
46,py_046_background_task_error_loss.zip,1,1,0,1,0,0,0,2,2360.0,2,1,0 apparent,1,88.7,PARTIAL,"Clean, precise match -- correctly names the exact pattern (unretained create_task result, lost exceptions). Generic fallback, 0/2 relevant."
47,py_047_flask_debug_mode.zip,1,1,0,2,0,1,0,4,1813.0,3,1,0 apparent,2,86.8,PARTIAL,Theme matched via the deterministic finding. The duplicate AI-sourced card is undermined by its own explain-stage talking the user out of the correctly-seeded issue -- a variant of the reasoning self-contradiction pattern that doesn't require an example.invalid trigger.
48,py_048_csrf_cookie_form.zip,2,1,1,2,1,0,0,4,2453.0,3,2,0 apparent,2,87.8,PARTIAL,"Source line 2 is `app.secret_key='test-session-secret'` -- an obvious, adjacent-to-app-init hardcoded Flask session-signing secret, completely missed by both layers. Root cause verified: the deterministic _RE_SECRET regex requires one of the exact words password/secret/api_key/token immediately followed by '=' -- 'secret_key=' has '_key' between 'secret' and '=', so the regex does not match (same anchoring flaw class as py_001, but here it also defeats the common Flask/Django SECRET_KEY convention specifically). The AI layer also never mentioned it despite seeing the whole 7-line file in one chunk. csrf_missing theme correctly matched by finding 1."
49,py_049_mass_assignment.zip,1,1,0,1,0,0,0,2,2718.0,2,1,0 apparent,1,86.7,PARTIAL,"Strong, precise catch -- correctly names the specific privilege-escalation vector (role/is_admin overwrite via unrestricted setattr loop). No mass-assignment standard exists in STANDARDS -- generic fallback, 0/2 relevant."
50,py_050_tls_verification_disabled.zip,2,1,1,1,0,0,1,0,1891.0,2,1,0 apparent (candidate deduped against deterministic finding),1,87.8,PARTIAL,"download_manifest(url) fetches an arbitrary caller-supplied URL with verify=False -- two distinct seeded themes. TLS caught exactly (deterministic, exact-rule RAG match -- a clean PASS-quality result on its own). SSRF completely absent: this is the THIRD data point (after py_006 miss, py_018 catch) of inconsistent detection on the identical requests.get(url, ...) shape -- SAGE misses this exact SSRF pattern in 2 of 3 fixtures that seed it. The sole AI candidate here was deduped against the deterministic TLS finding (ai_finding_count=0), consistent with the AI never having generated a distinct SSRF candidate for this file. Negative assertion (timeout=5 present) correctly respected."
